64.80	112.80	73.20	92.40	37.20	60.00	20.40	57.60	91.20	68.40	42.00
92.40	104.40	39.60	18.00	81.60	97.20	90.00	94.80	94.80	98.40	109.20
87.60	16.80	57.60	66.00	90.00	102.00	22.80	70.80	13.20	7.20	21.60
33.60	20.40	26.40	58.80	75.60	6.00	42.00	61.20	61.20	87.60	20.40
66.00	0.00	54.00	40.80	108.00	88.80	105.60	76.80	110.40	6.00	93.60
82.80	79.20	91.20	106.80	7.20	20.40	45.60	6.00	14.40	81.60	84.00
36.00	87.60	67.20	82.80	72.00	99.60	28.80	64.80	14.40	25.20	106.80
97.20	114.00	40.80	61.20	36.00	103.20	81.60	117.60	34.80	46.80	2.40
92.40	84.00	62.40	20.40	50.40	9.60	58.80	108.00	15.60	74.40	104.40
51.60	81.60	74.40	8.40	118.80	61.20	46.80	92.40	49.20	61.20	70.80
40.80	79.20	111.60	52.80	36.00	78.00	9.60	40.80	27.60	16.80	45.60
19.20	58.80	109.20	4.80	43.20	2.40	73.20	45.60	73.20	86.40	102.00
98.40	43.20	20.40	6.00	67.20	12.00	24.00	50.40	27.60	43.20	54.00
6.00	75.60	57.60	88.80	120.00	62.40	76.80	100.80	51.60	37.20	3.60
99.60	37.20	62.40	31.20	73.20	3.60	49.20	73.20	106.80	86.40	87.60
99.60	2.40	14.40	18.00	72.00	40.80	110.40	80.40	54.00	68.40	38.40
8.40	58.80	90.00	38.40	111.60	42.00	106.80	22.80	117.60	93.60	20.40
56.40	1.20	36.00	19.20	55.20	38.40	80.40	64.80	102.00	2.40	2.40
66.00	33.60	50.40	81.60	43.20	3.60	46.80	31.20	2.40	100.80	76.80
3.60	16.80	19.20	105.60	4.80	20.40	105.60	34.80	34.80	10.80	56.40
